VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO,departamento,indicador,anio,valor,ambito
23.4,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2016,16,DEPARTAMENTO,LORETO,LORETO,confianza_pnp_pct,2016,23.4,DEPARTAMENTO
23.3,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2016,6,DEPARTAMENTO,CAJAMARCA,CAJAMARCA,confianza_pnp_pct,2016,23.3,DEPARTAMENTO
22.8,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2016,13,DEPARTAMENTO,LA LIBERTAD,LA LIBERTAD,confianza_pnp_pct,2016,22.8,DEPARTAMENTO
21.1,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2016,4,DEPARTAMENTO,AREQUIPA,AREQUIPA,confianza_pnp_pct,2016,21.1,DEPARTAMENTO
19.7,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2016,18,DEPARTAMENTO,MOQUEGUA,MOQUEGUA,confianza_pnp_pct,2016,19.7,DEPARTAMENTO
19.0,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2016,22,DEPARTAMENTO,SAN MARTÍN,SAN MARTIN,confianza_pnp_pct,2016,19.0,DEPARTAMENTO
19.0,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2016,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO,CALLAO,confianza_pnp_pct,2016,19.0,DEPARTAMENTO
18.5,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2016,25,DEPARTAMENTO,UCAYALI,UCAYALI,confianza_pnp_pct,2016,18.5,DEPARTAMENTO
17.8,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2016,1599,DEPARTAMENTO,REGIÓN LIMA,LIMA,confianza_pnp_pct,2016,17.8,DEPARTAMENTO
17.3,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2016,3,DEPARTAMENTO,APURÍMAC,APURIMAC,confianza_pnp_pct,2016,17.3,DEPARTAMENTO
17.1,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2016,9,DEPARTAMENTO,HUANCAVELICA,HUANCAVELICA,confianza_pnp_pct,2016,17.1,DEPARTAMENTO
17.0,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2016,11,DEPARTAMENTO,ICA,ICA,confianza_pnp_pct,2016,17.0,DEPARTAMENTO
16.8,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2016,1501,DEPARTAMENTO,LIMA METROPOLITANA,LIMA,confianza_pnp_pct,2016,16.8,DEPARTAMENTO
16.8,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2016,23,DEPARTAMENTO,TACNA,TACNA,confianza_pnp_pct,2016,16.8,DEPARTAMENTO
15.5,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2016,10,DEPARTAMENTO,HUÁNUCO,HUANUCO,confianza_pnp_pct,2016,15.5,DEPARTAMENTO
15.1,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2016,2,DEPARTAMENTO,ÁNCASH,ANCASH,confianza_pnp_pct,2016,15.1,DEPARTAMENTO
14.8,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2016,5,DEPARTAMENTO,AYACUCHO,AYACUCHO,confianza_pnp_pct,2016,14.8,DEPARTAMENTO
14.3,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2016,19,DEPARTAMENTO,PASCO,PASCO,confianza_pnp_pct,2016,14.3,DEPARTAMENTO
