departamento,anio,denuncias_total,meses_observados,anio_completo,denuncias_estafa,denuncias_extorsion,denuncias_hurto,denuncias_otros,denuncias_robo,denuncias_secuestro,denuncias_violencia_contra_la_mujer_e_integrantes,prop_estafa,prop_extorsion,prop_hurto,prop_otros,prop_robo,prop_secuestro,prop_violencia_contra_la_mujer_e_integrantes,diversidad_modalidades,poblacion,ubigeo,denuncias_tasa_100k,denuncias_tasa_100k_lag1,denuncias_total_lag1,denuncias_tasa_yoy,confianza_pnp_pct,percepcion_inseguridad_pct,victimizacion_estafa_pct,victimizacion_pct,victimizacion_robo_pct,victimizacion_pct_lag1,percepcion_inseguridad_pct_lag1,confianza_pnp_pct_lag1,victimizacion_robo_pct_lag1,victimizacion_estafa_pct_lag1,brecha_percepcion_victimizacion,victimizacion_alta_q75_anual
MADRE DE DIOS,2019,5876,12,True,32.0,22.0,1024.0,1698.0,798.0,7.0,2295.0,0.005445881552076242,0.0037440435670524166,0.17426820966643974,0.2889720898570456,0.13580667120490128,0.001191286589516678,0.390571817562968,1.3588758709087585,167674.0,170000,3504.419289812374,3709.9253675832488,5985.0,-0.055393588120816406,8.2,75.9,10.7,35.4,20.5,32.9,70.6,8.4,16.6,12.1,40.50000000000001,1
MADRE DE DIOS,2020,5403,12,True,47.0,3.0,796.0,1704.0,276.0,1.0,2576.0,0.008698870997593929,0.000555247084952804,0.147325559874144,0.31538034425319267,0.05108273181565797,0.00018508236165093466,0.4767721636128077,1.1982001400262992,173811.0,170000,3108.5489410911855,3504.419289812374,5876.0,-0.11296318048243115,15.3,33.1,3.7,23.0,15.5,35.4,75.9,8.2,20.5,10.7,10.100000000000001,0
MADRE DE DIOS,2021,6072,12,True,94.0,26.0,847.0,2000.0,486.0,5.0,2614.0,0.015480895915678524,0.004281949934123847,0.13949275362318841,0.32938076416337286,0.0800395256916996,0.0008234519104084321,0.4305006587615283,1.2992287194128147,179688.0,170000,3379.1905970348603,3108.5489410911855,5403.0,0.08706366252309095,10.6,67.7,3.5,24.4,15.9,23.0,33.1,15.3,15.5,3.7,43.300000000000004,1
MADRE DE DIOS,2022,6366,12,True,120.0,46.0,968.0,2423.0,506.0,12.0,2291.0,0.01885014137606032,0.007225887527489789,0.1520578071002199,0.3806157712849513,0.07948476280238768,0.001885014137606032,0.35988061577128494,1.3454326973248556,185478.0,170000,3432.2129848283894,3379.1905970348603,6072.0,0.01569085444308893,9.7,75.4,4.6,25.7,17.0,24.4,67.7,10.6,15.9,3.5,49.7,1
MADRE DE DIOS,2023,6769,12,True,155.0,75.0,997.0,2672.0,937.0,10.0,1923.0,0.022898507903678533,0.011079923179199291,0.14728911212882256,0.3947407297976067,0.13842517358546313,0.0014773230905599055,0.2840892303146698,1.4262731126654271,191259.0,170000,3539.1798555884952,3432.2129848283894,6366.0,0.03116556904625023,9.3,75.0,3.1,32.0,19.9,25.7,75.4,9.7,17.0,4.6,43.0,1
MADRE DE DIOS,2024,7747,12,True,248.0,53.0,999.0,3748.0,738.0,25.0,1936.0,0.03201239189363625,0.006841357945010972,0.12895314315218795,0.48380018071511555,0.09526268232864335,0.003227055634439138,0.24990318833096684,1.3487131085830577,197096.0,170000,3930.571904046759,3539.1798555884952,6769.0,0.11058834657420458,7.2,74.4,2.1,28.6,15.0,32.0,75.0,9.3,19.9,3.1,45.800000000000004,1
MOQUEGUA,2018,4934,12,True,71.0,10.0,906.0,1541.0,153.0,4.0,2249.0,0.014389947304418322,0.002026753141467369,0.18362383461694365,0.3123226591001216,0.03100932306445075,0.0008107012565869477,0.45581678151601135,1.2198721136525092,186371.0,180000,2647.4075902366785,,,,15.8,43.3,2.3,14.7,8.6,,,,,,28.599999999999998,0
MOQUEGUA,2019,5935,12,True,164.0,12.0,1089.0,1897.0,202.0,5.0,2566.0,0.02763268744734625,0.0020219039595619206,0.18348778433024432,0.31962931760741364,0.03403538331929233,0.0008424599831508003,0.4323504633529907,1.2709501317852854,189781.0,180000,3127.2888223794794,2647.4075902366785,4934.0,0.1812645827233197,15.6,45.6,2.3,15.8,9.1,14.7,43.3,15.8,8.6,2.3,29.8,0
MOQUEGUA,2020,4465,12,True,149.0,6.0,536.0,1459.0,140.0,2.0,2173.0,0.033370660694288914,0.0013437849944008958,0.1200447928331467,0.3267637178051512,0.03135498320268757,0.0004479283314669653,0.4866741321388578,1.204821540644624,192740.0,180000,2316.592300508457,3127.2888223794794,5935.0,-0.2592330187315999,24.0,20.6,3.0,16.4,9.1,15.8,45.6,15.6,9.1,2.3,4.200000000000003,0
MOQUEGUA,2021,6372,12,True,222.0,15.0,953.0,2466.0,214.0,7.0,2495.0,0.03483992467043315,0.0023540489642184556,0.14956057752667923,0.3870056497175141,0.03358443188951663,0.001098556183301946,0.39155681104833645,1.2713607784185275,195185.0,180000,3264.5951276993624,2316.592300508457,4465.0,0.40922298972626003,19.4,46.8,2.0,12.0,4.5,16.4,20.6,24.0,9.1,3.0,34.8,0
MOQUEGUA,2022,6987,12,True,247.0,42.0,1387.0,2595.0,267.0,15.0,2434.0,0.03535136682410191,0.0060111635895234005,0.19851152139687991,0.3714040360669815,0.038213825676255905,0.0021468441391155,0.3483612423071418,1.3430316599840233,197337.0,180000,3540.643670472339,3264.5951276993624,6372.0,0.08455827812483285,18.1,48.8,4.1,15.5,7.3,12.0,46.8,19.4,4.5,2.0,33.3,0
MOQUEGUA,2023,7660,12,True,302.0,88.0,1639.0,2693.0,326.0,2.0,2610.0,0.039425587467362924,0.011488250652741514,0.2139686684073107,0.35156657963446475,0.04255874673629243,0.0002610966057441253,0.34073107049608353,1.379582639244112,199286.0,180000,3843.7220878536377,3540.643670472339,6987.0,0.08559980771543341,17.5,43.2,3.0,17.1,7.0,15.5,48.8,18.1,7.3,4.1,26.1,0
MOQUEGUA,2024,7323,12,True,328.0,34.0,1447.0,2902.0,338.0,9.0,2265.0,0.04479038645363922,0.004642905912877236,0.19759661340980472,0.3962856752696982,0.04615594701625017,0.0012290045063498567,0.3092994674313806,1.3644156267888894,201129.0,180000,3640.9468550035053,3843.7220878536377,7660.0,-0.052754915213800935,17.1,46.5,3.4,24.3,11.4,17.1,43.2,17.5,7.0,3.0,22.2,0
