VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO
11.4,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2019,12,DEPARTAMENTO,JUNÍN
10.3,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2019,5,DEPARTAMENTO,AYACUCHO
8.2,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2019,17,DEPARTAMENTO,MADRE DE DIOS
5.8,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2019,21,DEPARTAMENTO,PUNO
28.2,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2020,0,NACIONAL,NACIONAL
39.7,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2020,24,DEPARTAMENTO,TUMBES
38.8,PORCENTAJE DE CONFIANZA EN LA PNP,2,AÑO,2020,14,DEPARTAMENTO,LAMBAYEQUE
38.4,PORCENTAJE DE CONFIANZA EN LA PNP,3,AÑO,2020,6,DEPARTAMENTO,CAJAMARCA
34.3,PORCENTAJE DE CONFIANZA EN LA PNP,4,AÑO,2020,1,DEPARTAMENTO,AMAZONAS
33.5,PORCENTAJE DE CONFIANZA EN LA PNP,5,AÑO,2020,11,DEPARTAMENTO,ICA
33.1,PORCENTAJE DE CONFIANZA EN LA PNP,6,AÑO,2020,20,DEPARTAMENTO,PIURA
33.1,PORCENTAJE DE CONFIANZA EN LA PNP,7,AÑO,2020,7,DEPARTAMENTO,PROV. CONST. DEL CALLAO
30.4,PORCENTAJE DE CONFIANZA EN LA PNP,8,AÑO,2020,1501,DEPARTAMENTO,LIMA METROPOLITANA
29.3,PORCENTAJE DE CONFIANZA EN LA PNP,9,AÑO,2020,1599,DEPARTAMENTO,REGIÓN LIMA
27.8,PORCENTAJE DE CONFIANZA EN LA PNP,10,AÑO,2020,8,DEPARTAMENTO,CUSCO
27.7,PORCENTAJE DE CONFIANZA EN LA PNP,11,AÑO,2020,22,DEPARTAMENTO,SAN MARTÍN
27.3,PORCENTAJE DE CONFIANZA EN LA PNP,12,AÑO,2020,2,DEPARTAMENTO,ÁNCASH
27,PORCENTAJE DE CONFIANZA EN LA PNP,13,AÑO,2020,9,DEPARTAMENTO,HUANCAVELICA
26.7,PORCENTAJE DE CONFIANZA EN LA PNP,14,AÑO,2020,4,DEPARTAMENTO,AREQUIPA
25.6,PORCENTAJE DE CONFIANZA EN LA PNP,15,AÑO,2020,25,DEPARTAMENTO,UCAYALI
25.2,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2020,16,DEPARTAMENTO,LORETO
24.7,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2020,13,DEPARTAMENTO,LA LIBERTAD
24,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2020,18,DEPARTAMENTO,MOQUEGUA
23.3,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2020,23,DEPARTAMENTO,TACNA
23.3,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2020,12,DEPARTAMENTO,JUNÍN
23,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2020,19,DEPARTAMENTO,PASCO
22.1,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2020,10,DEPARTAMENTO,HUÁNUCO
19.1,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2020,3,DEPARTAMENTO,APURÍMAC
15.3,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2020,17,DEPARTAMENTO,MADRE DE DIOS
14.9,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2020,5,DEPARTAMENTO,AYACUCHO
8.5,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2020,21,DEPARTAMENTO,PUNO
24.6,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2021,0,NACIONAL,NACIONAL
